172.21.0.13 - - [10/Jan/2022:19:28:25 +0000] "GET /api/l10n/index?locale=en-GB&ts=2022-01-10T19%3A28%3A09%2B0000 HTTP/1.1" 200 - "http://sonarqube.local/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAC"
172.21.0.13 - - [10/Jan/2022:19:28:25 +0000] "GET /api/navigation/global HTTP/1.1" 401 - "http://sonarqube.local/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAG"
172.21.0.13 - - [10/Jan/2022:19:28:25 +0000] "GET /api/l10n/index?locale=en-GB&ts=2022-01-10T19%3A28%3A09%2B0000 HTTP/1.1" 200 - "http://sonarqube.local/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAH"
172.21.0.13 - - [10/Jan/2022:19:28:25 +0000] "GET /api/users/identity_providers HTTP/1.1" 200 24 "http://sonarqube.local/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAI"
172.21.0.13 - - [10/Jan/2022:19:28:59 +0000] "POST /api/authentication/login HTTP/1.1" 200 - "http://sonarqube.local/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAJ"
172.21.0.13 - - [10/Jan/2022:19:28:59 +0000] "GET / HTTP/1.1" 302 - "http://sonarqube.local/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAK"
172.21.0.13 - - [10/Jan/2022:19:28:59 +0000] "GET /admin/plugin_risk_consent HTTP/1.1" 200 - "http://sonarqube.local/sessions/new?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAL"
172.21.0.13 - - [10/Jan/2022:19:28:59 +0000] "GET /api/l10n/index?locale=en-GB&ts=2022-01-10T19%3A28%3A25%2B0000 HTTP/1.1" 304 - "http://sonarqube.local/admin/plugin_risk_consent" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAN"
172.21.0.13 - - [10/Jan/2022:19:28:59 +0000] "GET /api/users/current HTTP/1.1" 200 354 "http://sonarqube.local/admin/plugin_risk_consent" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAM"
172.21.0.13 - - [10/Jan/2022:19:28:59 +0000] "GET /api/navigation/global HTTP/1.1" 200 572 "http://sonarqube.local/admin/plugin_risk_consent" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36" "AX5FdoJSkHo3AcYUAAAO"
